id,name,cat,subcat,tier,priority,lat,lon,yield_kt,burst,height_m,rationale,notes,sources
K04,Sizewell B + C (Suffolk),K,Nuclear power,T2,82,52.2142,1.62,100,ground,0,Sizewell B PWR (active) + Sizewell C planned. ~3% of current UK electricity.,,EDF
K05,Heysham 1 + 2 (Lancashire),K,Nuclear power,T2,83,54.0292,-2.9158,100,ground,0,Two active AGR stations. UK's largest nuclear generating site. ~10% of national nuclear capacity.,,EDF
K06,Hartlepool AGR,K,Nuclear power,T2,84,54.635,-1.1808,100,ground,0,Active AGR station on Teesside. Contributing to grid.,,EDF
K07,Torness AGR (East Lothian),K,Nuclear power,T2,85,55.9681,-2.4069,100,ground,0,Active AGR station south-east of Edinburgh. Scotland's only currently active nuclear power plant.,,EDF
L04,Pembroke Refinery (Valero),L,Oil refinery,T2,86,51.6833,-4.9833,100,air,500,"Valero Pembroke, Wales. ~10 million tpa. One of largest European refineries.",,Valero
L05,Lindsey Oil Refinery (Humber),L,Oil refinery,T2,87,53.64,-0.2014,100,air,500,"Prax Group, North Lincolnshire. Humber refinery complex.",Adjacent to L06.,Prax
L07,Bacton Gas Terminal (Norfolk),L,Gas import terminal,T2,88,52.8519,1.4494,100,ground,0,North Sea gas plus BBL (NL) and IUK (BE) interconnectors. Second key gas entry point for UK.,,National Gas
L08,Easington Gas Terminal (E Yorks),L,Gas import terminal,T2,89,53.65,0.14,100,ground,0,Langeled pipeline from Norway terminates here (~20% of UK gas). East Yorkshire coast.,,Equinor
M04,Sellindge / Folkestone (IFA HVDC),M,UK-France interconnector,T2,90,51.1025,1.0222,100,air,500,IFA and IFA2 UK converter stations. 2 GW to France. Destroying severs major import/export link.,,National Grid
M07,National Grid ESO Control Centre (Wokingham),M,Grid control,T2,91,51.4011,-0.7953,100,air,500,National Grid Electricity System Operator main control centre. UK transmission system operation.,,NESO
J01,Port of Felixstowe,J,Container port,T2,92,51.9539,1.3511,100,air,500,Britain's busiest container port. ~40% of UK container trade. Hutchison Ports.,,Felixstowe
J02,London Gateway,J,Deep-water container port,T2,93,51.5158,0.5,100,air,500,DP World London Gateway. Deep-water container port on Thames. Adjacent data centre park.,,DP World
J04,Liverpool / Birkenhead (Mersey Docks),J,Atlantic container port,T2,94,53.4419,-3.0069,100,air,500,Mersey Docks container terminal at Seaforth. Main Atlantic container port for NW England.,Covered partly by Liverpool city strike (I07).,Peel Ports
J05,Port of Immingham,J,Largest UK port by tonnage,T2,95,53.6306,-0.1814,100,air,500,"Largest UK port by tonnage. Oil, coal, bulk cargo. Drax biomass imports.",,ABP
O01,Slough data centre cluster,O,Hyperscale DC cluster,T2,96,51.5112,-0.595,100,air,500,"Slough Trading Estate: Equinix LD4/LD5/LD6/LD8, Virtus, Digital Realty, Ark. Densest data centre cluster in Europe. AWS, Azure, Google, Oracle European points of presence.",Partly covered by London GZ 3 (I03).,"Uptime Institute, DCD"
O02,Docklands DC cluster (London),O,Internet exchange + hyperscale,T2,97,51.5083,-0.02,800,air,2000,"Telehouse North/East/West, Equinix LD1-3. LINX core. London main internet interconnect.",Covered by London GZ 1 (I01).,Uptime Institute
N09,Telehouse / LINX Docklands,N,UK internet exchange,T2,98,51.5081,-0.008,800,air,2000,LINX (London Internet Exchange) primary site at Telehouse North. UK internet traffic interchange. Covered by London GZ 1.,Overlap I01/O02.,LINX
N02,Oxwich Bay cable landing (S Wales),N,Transatlantic cable,T2,99,51.5519,-4.16,100,air,500,"Amitie, 2Africa and other major cables landing S Wales coast. Growing strategic importance.",,TeleGeography
N03,Goonhilly Earth Station (Cornwall),N,Satellite + cable,T2,100,50.0472,-5.1825,100,air,500,"Major satellite uplink facility (GEO, MEO, deep space). Adjacent undersea cable landings at Porthcurno.",Also covers nearby Porthcurno.,Goonhilly Earth Station
H10,QinetiQ Boscombe Down,H,Military flight test,T2,101,51.1519,-1.7472,100,air,500,UK Military Flying Test and Evaluation centre. Empire Test Pilots School. All UK military aircraft cleared here.,,QinetiQ
H11,DSTL Porton Down,H,CBRN defence research,T2,102,51.1233,-1.7014,100,air,500,Defence Science and Technology Laboratory. Chemical and biological defence research. Historic significance.,,DSTL
H05,Thales UK Glasgow (Linthouse),H,Sonar + optronics,T3,103,55.8778,-4.2361,100,air,500,"Thales UK. Sonar suites for RN submarines, optronic mast systems, ship radar.",,Thales UK
H07,MBDA Lostock (Bolton),H,Missile production,T3,104,53.5869,-2.4617,100,air,500,MBDA production facility. CAMM/Sea Ceptor manufacture.,,MBDA
H08,Leonardo UK Edinburgh (Crewe Toll),H,Airborne radars + EW,T3,105,55.9344,-3.2692,300,air,2000,"Captor-E/M radar (Typhoon/F-35), Osprey AESA, DAS systems. Sole UK airborne radar OEM.",Covered by Edinburgh city strike (I12).,Leonardo UK
H09,Leonardo UK Luton,H,Defensive aids + EW,T3,106,51.8797,-0.4047,100,air,500,"Defensive Aids Sub-System, laser warning, EW systems for UK combat aircraft.",,Leonardo UK
H12,QinetiQ Farnborough,H,Defence research HQ,T3,107,51.2833,-0.75,100,air,500,QinetiQ HQ. Historic RAE site. Wide-spectrum defence R&D.,,QinetiQ
H13,QinetiQ Portsdown Technology Park,H,Maritime sensors + underwater R&D,T3,108,50.8533,-1.1086,100,air,500,"Maritime sensor systems, underwater weapons research. Portsdown West site.",Portsmouth area — overlap with HMNB strike.,QinetiQ
H14,QinetiQ Aberporth,H,Weapons test range,T3,109,52.1389,-4.5683,100,air,500,"West Wales test range. Air-to-surface and air-to-ground weapons qualification, UAV trials.",,QinetiQ
H15,"Rolls-Royce Sinfin, Derby",H,Aero engine manufacturing,T3,110,52.8953,-1.4839,300,air,2000,Rolls-Royce aero engine manufacture (EJ200 for Typhoon). Derby — overlap with Raynesway (A07) and Derby city (I20).,Covered partly by Derby/A07 strikes.,Rolls-Royce
G06,RRH Portreath,G,Air defence radar,T3,111,50.2508,-5.2878,100,air,500,Remote Radar Head. South-west approaches air coverage.,,RAF
G09,DIS Chicksands,G,Defence Intelligence,T3,112,52.0258,-0.3814,100,air,500,Defence Intelligence Security Centre / DISC. Former NSA/GCHQ Chicksands site. Military intelligence training.,,MoD
D15,RAF Spadeadam,D,Electronic warfare range,T3,113,55.0306,-2.55,100,air,500,Largest electronic warfare tactics range in Europe. EW training for NATO fast jets.,,RAF
J06,Port of Dover,J,Cross-Channel ferry,T2,114,51.1261,1.3139,100,air,500,~40% of UK ro-ro freight with the continent. Cross-Channel chokepoint.,,Port of Dover
J07,Milford Haven,J,LNG + oil port,T2,115,51.7097,-5.0461,100,air,500,UK's 2nd largest port by tonnage. South Hook and Dragon LNG terminals. Valero refinery.,"Overlap L10, L11, L04.",Milford Haven Port Authority
J03,Port of Tilbury,J,General cargo + container,T3,116,51.4667,0.35,100,air,500,Port of Tilbury. London's primary grain and bulk port. ro-ro and container.,,Forth Ports
J08,Port of Grimsby,J,Humber port,T3,117,53.5742,-0.0714,100,air,500,Humber estuary. Adjacent to Immingham. Ro-ro and bulk.,,ABP
J09,Belfast Harbour,J,NI main port,T3,118,54.6167,-5.9,300,air,2000,Main Northern Ireland port. Harland and Wolff adjacent (Spirit Aero/H&W repair).,Covered by Belfast city strike (I14).,Belfast Harbour Commissioners
M02,"Dinorwig (Llanberis, N Wales)",M,Pumped storage,T3,119,53.1194,-4.1133,100,air,500,"Electric Mountain pumped storage, 1.7 GW. Critical for grid frequency stability during peak demand.",,Engie
M03,Cruachan (Argyll),M,Pumped storage,T3,120,56.3942,-5.115,100,air,500,"Hollow Mountain pumped storage, 440 MW. Scottish grid stability.",,Drax
M05,Richborough (Nemo Link),M,UK-Belgium interconnector,T3,121,51.2883,1.3261,100,air,500,"Nemo Link 1 GW HVDC converter station at Richborough, Kent. UK-Belgium.",,National Grid
M06,Bicker Fen (Viking Link),M,UK-Denmark interconnector,T3,122,52.9275,-0.1022,100,air,500,"Viking Link 1.4 GW HVDC converter station near Boston, Lincs. UK-Denmark.",,National Grid
M08,Iron Acton 400kV Substation,M,400 kV super-grid node,T3,123,51.55,-2.475,100,air,500,"Major 400 kV super-grid node, South Gloucestershire. SW England grid hub.",,National Grid
O03,Farnborough / Fleet DC cluster (Ark Zeta),O,Secure/gov DC,T2,124,51.2839,-0.7681,100,air,500,Ark Data Centres Farnborough Zeta / Leap DC. Major public-sector and defence-adjacent cloud hosting.,Overlap H12 QinetiQ Farnborough.,Ark
N04,Highbridge / Brean (Somerset),N,Cable landing,T3,125,51.2972,-3.0208,100,air,500,TAT-14 Bristol Channel landing point at Brean. Secondary transatlantic route.,,TeleGeography
N05,Lowestoft cable landing (Suffolk),N,N Sea + Scandinavian cables,T3,126,52.475,1.75,100,air,500,Scandinavian and North Sea cable landings. East Anglia coast.,,TeleGeography
N06,Winterton-on-Sea cable landing (Norfolk),N,N Sea cables,T3,127,52.7139,1.6972,100,air,500,"Pan-European and North Sea cable landings, Norfolk coast.",,TeleGeography
N07,Holyhead cable landing (Anglesey),N,Ireland cables,T3,128,53.3089,-4.6333,100,air,500,Cable landing connecting UK-Ireland. Severs critical cross-Irish Sea links.,,TeleGeography
N08,Scrabster / Thurso cable landing (Caithness),N,Nordic cables,T3,129,58.6128,-3.5444,100,air,500,Far-north cable landings connecting UK-Iceland-Faroes-Scandinavia.,,TeleGeography
O04,Park Royal DC cluster (West London),O,Colocation,T3,130,51.5269,-0.2836,100,air,500,"West London DC cluster: Global Switch Park Royal, Pulsant. London overspill capacity.",Partly covered by London GZ 3 (I03).,DCD
O05,Equinix Manchester MA1+,O,N England DC,T3,131,53.4856,-2.2944,300,air,2000,Equinix Manchester data centre cluster. Primary cloud on-ramp for NW England.,Covered by Manchester city strike (I05).,Equinix
O06,NGD Newport / Vantage (S Wales),O,Large DC,T3,132,51.5814,-3.0081,100,air,500,"Next Generation Data / Vantage Newport. One of Europe's largest single-site data centres. AWS, UK Gov data.",,Vantage
O07,STACK Infrastructure (West Drayton / Hayes),O,Hyperscale DC,T3,133,51.51,-0.48,100,air,500,Large west London hyperscale campus. Near Heathrow. Major cloud anchor.,Partly covered by London GZ 3.,STACK
L11,Dragon LNG (Milford Haven),L,LNG import terminal,T3,134,51.6956,-5.0358,100,air,500,Second Milford Haven LNG terminal. Shell/Ancala. Adjacent to South Hook.,,Dragon LNG
L12,Sullom Voe Oil Terminal (Shetland),L,Oil terminal,T3,135,60.4558,-1.3239,100,air,500,North Sea and West of Shetland oil terminal. BP-operated. Critical to N Sea production.,,BP
L13,Flotta Oil Terminal (Orkney),L,Oil terminal,T3,136,58.8333,-3.1333,100,air,500,"Repsol/Repsol Sinopec oil terminal, Orkney. Piper/Claymore/Flotta field output.",,Repsol
K08,Dungeness B (Kent),K,Nuclear power (defuelling),T3,137,50.9136,0.9614,100,ground,0,AGR in defuelling phase. Spent fuel on site — contamination risk.,,EDF
